apartment_id,price,date,room_type,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,neighbourhood,district,latitude,longitude,host_id,host_since,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,wifi,tv,coffe_machine,dishwasher,terrace,bathtub,check_in_24h
79584,250,2019-04-07,Apartment,14,2,2,$90.00,47,Kreuzberg,Friedrichshain-Kreuzberg,52.49781,13.44423,190957759,2018-05-22,within an hour,100%,TRUE,18,99,10,10,10,10,9,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
48730,42,2019-01-02,Apartment,2,1,1.5,$5.00,38,Friedrichshain,Friedrichshain-Kreuzberg,52.51665,13.46095,2366721,2012-05-14,within an hour,90%,TRUE,2,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
86518,89,2019-01-27,Apartment,5,2,1,$50.00,64,Alt-Hohenschönhausen,Lichtenberg,52.53596,13.50429,2647295,2012-06-15,within an hour,100%,FALSE,7,96,10,10,10,10,9,9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
98596,89,2019-01-25,Apartment,4,2,1.5,$30.00,15,Kreuzberg,Friedrichshain-Kreuzberg,52.49096,13.41344,6510848,2013-05-21,within a few hours,100%,FALSE,1,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51749,44,2019-02-08,Apartment,4,1,1,$19.00,58,Schöneberg,Tempelhof - Schöneberg,52.50087,13.3459,233272949,2018-12-30,within an hour,100%,FALSE,1,90,9,8,9,9,9,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
49327,45,2019-01-01,Apartment,2,1,1,$0.00,79,Friedrichshain,Friedrichshain-Kreuzberg,52.50805,13.45469,34185756,2015-05-25,within an hour,100%,TRUE,1,97,10,9,10,10,10,9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
25015,120,2019-03-31,Serviced apartment,2,0,1,$0.00,90,Kreuzberg,Friedrichshain-Kreuzberg,52.50288,13.39349,342965,2011-01-11,within a few hours,100%,FALSE,13,90,9,10,10,10,10,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80457,35,2019-01-21,Apartment,2,1,1,$0.00,66,Prenzlauer Berg,Pankow,52.54352,13.42197,104540450,2016-11-20,within a few hours,100%,TRUE,2,97,10,9,10,10,10,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47565,55,2019-02-10,Apartment,1,1,1,$0.00,76,Wedding,Mitte,52.53638,13.38895,105164729,2016-11-25,within a few hours,100%,TRUE,1,100,10,10,10,10,10,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
61809,60,2019-01-26,Apartment,2,0,1,$50.00,2,Charlottenburg,Charlottenburg-Wilm.,52.5263,13.28731,233481560,2018-12-31,within an hour,100%,FALSE,1,94,10,9,9,10,9,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95126,25,2019-05-07,Apartment,3,1,1,$25.00,70,Oberschöneweide,Treptow - Köpenick,52.46808,13.51694,233494304,2018-12-31,within a few hours,100%,FALSE,1,97,10,8,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
32194,19,2019-01-06,Apartment,2,1,1.5,$10.00,0,Neukölln,Neukölln,52.47646,13.44738,88084016,2016-08-05,within an hour,100%,FALSE,6,89,10,8,10,10,9,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71171,90,2019-02-11,Apartment,4,1,1,$50.00,0,Prenzlauer Berg,Pankow,52.54308,13.41192,68585977,2016-04-23,N/A,N/A,FALSE,2,90,10,9,10,10,10,9,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
40675,139,2019-03-08,Apartment,6,2,1,$60.00,48,Mitte,Mitte,52.51527,13.4199,2569632,2012-06-07,within an hour,100%,FALSE,8,96,10,10,10,10,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
52804,30,2019-01-11,Apartment,1,1,1,NA,0,Charlottenburg,Charlottenburg-Wilm.,52.50679,13.29574,32750290,2015-05-06,N/A,N/A,FALSE,1,87,9,8,9,9,10,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37358,139,2019-03-25,Apartment,6,2,1,$60.00,64,Mitte,Mitte,52.51723,13.41887,2569632,2012-06-07,within an hour,100%,FALSE,8,97,10,10,10,9,9,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
42868,25,2019-02-23,Apartment,2,1,1,$0.00,78,Mitte,Mitte,52.53488,13.40111,233807400,2019-01-02,within a day,80%,FALSE,1,97,10,9,10,10,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21719,120,2019-04-28,House,7,4,2,$50.00,10,Biesdorf,Marzahn - Hellersdorf,52.49227,13.56484,233663426,2019-01-01,within an hour,100%,TRUE,1,97,10,9,10,10,10,9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
52188,179,2019-05-20,Apartment,4,2,2,$89.00,10,Friedrichshain,Friedrichshain-Kreuzberg,52.49508,13.47152,95521720,2016-09-17,within a few hours,100%,TRUE,2,100,10,10,10,10,9,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
